,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711298385.775966,89323.0,1.588,5.62,1.166,"{'root--consul': 3.0, 'root--frontend': 7.0, 'root--geo': 4.0, 'root--jaeger': 13.933333333333334, 'root--memcached-profile': 3.8666666666666667, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 8.5, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 12.866666666666667, 'root--rate': 4.0, 'root--recommendation': 4.0, 'root--reservation': 4.0, 'root--search': 13.816666666666666, 'root--user': 45.86666666666667}",1711298385.775966,1711298415.8312392
1711298415.8321419,89301.0,14.148,83.2,22.008,"{'root--consul': 12.083333333333334, 'root--frontend': 9.766666666666667, 'root--geo': 4.0, 'root--jaeger': 7.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 17.833333333333332, 'root--mongodb-profile': 4.933333333333334, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 10.533333333333333, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 5.0, 'root--rate': 4.833333333333333, 'root--recommendation': 10.95, 'root--reservation': 4.0, 'root--search': 3.0, 'root--user': 38.0}",1711298415.8321419,1711298445.882202
1711298445.8836524,89319.0,1.513,11.94,2.198,"{'root--consul': 13.0, 'root--frontend': 10.0, 'root--geo': 4.0, 'root--jaeger': 7.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 11.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 5.0, 'root--rate': 5.0, 'root--recommendation': 13.0, 'root--reservation': 4.0, 'root--search': 3.0, 'root--user': 38.0}",1711298445.8836524,1711298475.942258
1711298475.9435883,89324.0,1.372,5.53,1.117,"{'root--consul': 13.0, 'root--frontend': 10.0, 'root--geo': 4.0, 'root--jaeger': 7.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 11.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 5.0, 'root--rate': 5.0, 'root--recommendation': 13.0, 'root--reservation': 4.0, 'root--search': 3.0, 'root--user': 38.0}",1711298475.9435883,1711298506.002699
1711298506.0040317,89318.0,1.363,5.98,1.433,"{'root--consul': 13.0, 'root--frontend': 10.0, 'root--geo': 4.0, 'root--jaeger': 7.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 4.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 19.0, 'root--mongodb-profile': 5.0, 'root--mongodb-rate': 4.0, 'root--mongodb-recommendation': 11.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 5.0, 'root--rate': 5.0, 'root--recommendation': 13.0, 'root--reservation': 4.0, 'root--search': 3.0, 'root--user': 38.0}",1711298506.0040317,1711298536.0540009
1711298566.108046,72150.0,2045.636,8050.000000000001,2509.508,"{'root--consul': 5.622950819672131, 'root--frontend': 5.081967213114754, 'root--geo': 5.590163934426229, 'root--jaeger': 3.918032786885246, 'root--memcached-profile': 8.688524590163935, 'root--memcached-rate': 25.24590163934426, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 10.147540983606557, 'root--mongodb-profile': 4.409836065573771, 'root--mongodb-rate': 3.4098360655737703, 'root--mongodb-recommendation': 7.098360655737705, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 11.065573770491802, 'root--rate': 5.327868852459017, 'root--recommendation': 11.327868852459016, 'root--reservation': 4.0, 'root--search': 3.3934426229508197, 'root--user': 19.60655737704918}",1711298566.108046,1711298596.6708703
1711298596.6723502,61940.0,5064.202,13340.0,4610.014,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 7.0, 'root--jaeger': 3.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 50.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 22.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 5.0}",1711298596.6723502,1711298627.229663
1711298627.231082,53872.0,6597.832,15840.0,5098.573,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 7.0, 'root--jaeger': 3.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 50.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 22.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 5.0}",1711298627.231082,1711298657.7901978
1711298657.7948856,66322.0,4099.281,13480.0,4238.917,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 7.0, 'root--jaeger': 3.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 50.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 22.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 5.0}",1711298657.7948856,1711298688.347486
1711298688.3487945,54743.0,6583.76,14780.0,4907.465,"{'root--consul': 4.0, 'root--frontend': 4.0, 'root--geo': 7.0, 'root--jaeger': 3.0, 'root--memcached-profile': 14.0, 'root--memcached-rate': 50.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 4.0, 'root--mongodb-profile': 4.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 4.0, 'root--mongodb-reservation': 4.0, 'root--mongodb-user': 4.0, 'root--profile': 22.0, 'root--rate': 6.0, 'root--recommendation': 10.0, 'root--reservation': 4.0, 'root--search': 4.0, 'root--user': 5.0}",1711298688.3487945,1711298718.4047608
