,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711156543.9497347,36683.0,11180.377,17830.0,3398.478,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 9.0, 'root--user': 8.0}",1711156543.9497347,1711156574.50834
1711156574.509755,33216.0,11288.403,18840.0,3875.452,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 9.0, 'root--user': 8.0}",1711156574.509755,1711156605.0659232
1711156605.0673358,34694.0,12367.436,18960.0,3420.981,"{'root--consul': 8.583333333333334, 'root--frontend': 8.0, 'root--geo': 8.3, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 8.3, 'root--mongodb-recommendation': 8.616666666666667, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.616666666666667, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 8.3, 'root--search': 9.0, 'root--user': 8.0}",1711156605.0673358,1711156635.1283429
1711156635.129354,37199.0,11582.305,18100.0,3441.599,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711156635.129354,1711156665.702939
1711156665.7043276,37254.0,11515.463,17970.0,3416.403,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711156665.7043276,1711156696.2738035
1711156696.2752326,37206.0,11527.943,17610.0,3388.348,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711156696.2752326,1711156726.842586
1711156726.8439806,37260.0,11544.369,17650.0,3426.387,"{'root--consul': 9.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 9.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 9.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711156726.8439806,1711156756.916333
1711156756.9173892,37512.0,11468.905,17470.0,3413.216,"{'root--consul': 8.557377049180328, 'root--frontend': 8.295081967213115, 'root--geo': 8.295081967213115, 'root--jaeger': 8.114754098360656, 'root--memcached-profile': 8.59016393442623, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.327868852459016, 'root--mongodb-profile': 8.59016393442623, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 8.295081967213115, 'root--mongodb-user': 8.59016393442623, 'root--profile': 8.295081967213115, 'root--rate': 8.59016393442623, 'root--recommendation': 8.59016393442623, 'root--reservation': 8.0, 'root--search': 8.62295081967213, 'root--user': 8.262295081967213}",1711156756.9173892,1711156787.4704666
1711156787.471857,37381.0,11517.809,18060.0,3459.537,"{'root--consul': 8.0, 'root--frontend': 9.0, 'root--geo': 9.0, 'root--jaeger': 9.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 9.0}",1711156787.471857,1711156818.0341702
1711156818.0355816,37262.0,11454.649,18240.0,3496.648,"{'root--consul': 8.0, 'root--frontend': 9.0, 'root--geo': 9.0, 'root--jaeger': 9.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 9.0}",1711156818.0355816,1711156848.589423
